Street #,Street Name,Street Type,Parcel #,Record #,Record Type,Status,Filed Date,Status Date,Description,Related Records,Balance,Created By
2528,26TH,AVE,026 077101109,SS120069,Soft Story,Expired,9/7/12,4/30/13,exempted - 3 buildings at 4 units each. No garage on ground floor,,0,
2445,8TH,AVE,022 034001300,SS120064,Soft Story,Expired,9/7/12,4/30/13,Exempted - retrofitted under B1102906(F  11/30/11),,0,
427,BURK,ST,010 078001800,SS120066,Soft Story,Expired,9/7/12,4/30/13,Exemmpted - no ground floor parking/commercial,,0,
537,E 17TH,ST,020 018600500,SS120075,Soft Story,Expired,9/7/12,4/30/13,Level 1 screening with ground floor garage,,78.6,
1880,JACKSON,ST,008 063300901,SS120062,Soft Story,Expired,9/7/12,4/30/13,exempted - structurally retrofitted under B1102873,,0,
456,LEE,ST,010 077501500,SS120065,Soft Story,Expired,9/7/12,4/30/13,Exempted - no parking or commercial space on ground floor,,0,
396,SANTA CLARA,AVE,010 082602500,SS120068,Soft Story,Expired,9/7/12,4/30/13,Exempted - No ground floor garage/commercial space,,0,
5606,TAFT,AVE,048A705000500,SS120074,Soft Story,Expired,9/7/12,4/30/13,Level 1 screening,,78.6,
5418,TELEGRAPH,AVE,014 122502300,SS120067,Soft Story,Expired,9/7/12,4/30/13,Exempted - 4 units w/o garage on ground floor,,0,
80,VERNON,ST,010 076902502,SS120063,Soft Story,Expired,9/7/12,4/30/13,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
3566,DIMOND,AVE,029A130203300,SS120061,Soft Story,Expired,8/29/12,3/17/13,EXEMPTION - NO STORE FRONT WINDOWS ON GROUND LEVEL,,0,
3474,BOSTON,AVE,028 090902900,SS120060,Soft Story,Expired,6/27/12,2/3/13,"Level 1 soft story screening for a 2 story, 8 unit apt. bldg w/parking below in rear of significant down slope lot.",,0,
832,YORK,ST,011 084001700,SS120059,Soft Story,Expired,5/31/12,1/2/13,EXEMPTION - RETROFIT UNDER PERMIT B1200130,,0,
676,ALMA,AVE,023 040102100,SS120058,Soft Story,Expired,5/16/12,1/2/13,EXEMPTED - PERIMETER CONCRETE/MASONRY BLOCK WALL AT 1ST LEVEL,,0,
509,41ST,ST,012 101200100,SS120057,Soft Story,Expired,5/10/12,1/2/13,LEVEL ONE SCREENING REQUIRED,,0,
425,LEE,ST,010 077200601,SS120055,Soft Story,Expired,4/20/12,12/17/12,level 2 screening provided,,0,
282,PARK VIEW,TR,010 077102901,SS120056,Soft Story,Expired,4/20/12,12/17/12,level 2 screening provided,,0,
1450,13TH,AVE,020 014200100,SS120054,Soft Story,Expired,3/27/12,10/31/12,"Level 1 screening for 2 story, 7 unit apts over 2 commercial spaces on ground floor.",,0,
3080,E 15TH,ST,025 072102200,SS120052,Soft Story,Expired,3/12/12,10/16/12,LEVEL 1 SOFT STORY SCREENING REQUIRED,,78.6,
1808,FRUITVALE,AVE,033 211702500,SS120053,Soft Story,Expired,3/12/12,10/16/12,LEVEL 1 SCREENING REQUIRED,,78.6,
276,LEE,ST,010 077403300,SS120051,Soft Story,Expired,3/8/12,10/16/12,Soft-story screening - Level 1.,,78.6,
1829,MYRTLE,ST,005 040902000,SS111405,Soft Story,Expired,12/19/11,9/18/12,EXEMPTED - NO COMMERCIAL OR PARKING SPACE ON GROUND LEVEL,,0,
287,VERNON,ST,010 079500909,SS111404,Soft Story,Expired,12/19/11,9/18/12,EXEMPTED - GARAGE IS AT BASEMENT AREA,,0,
1605,CLAY,ST,003 006301300,SS111403,Soft Story,Expired,12/14/11,9/18/12,LEVEL 1 SCREENING REQUIRED,,0,
5307,TELEGRAPH,AVE,,SS111401,Soft Story,Expired,12/12/11,9/18/12,LEVEL 1 SCREENING REQUIRED - FOR BLDGS A3 & A4,,0,
5307,TELEGRAPH,AVE,,SS111402,Soft Story,Expired,12/12/11,9/18/12,LEVEL 1 SCREENING REQUIRED - FOR BLDGS B1 & B2,,0,
650,ALCATRAZ,AVE,016 142701600,SS111400,Soft Story,Expired,12/8/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
2834,FRUITVALE,AVE,027 085304200,SS111399,Soft Story,Expired,12/7/11,8/15/12,EXEMPTED - NO COMMERCIAL OR PARKING SPACE ON GROUND LEVEL,,0,
2050,HARRINGTON,AVE,032 209106000,SS111398,Soft Story,Expired,11/22/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
5307,TELEGRAPH,AVE,014 122001502,SS111397,Soft Story,Expired,11/16/11,8/15/12,LEVEL 1 SCREENING REQUIRED - FOR BLDGS A1 & A2,,0,
1921,33RD,AVE,033 211700402,SS111393,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND LEVEL,,0,
1923,33RD,AVE,033 211700402,SS111394,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND LEVEL,,0,
1929,33RD,AVE,033 211700402,SS111395,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND LEVEL,,0,
1937,33RD,AVE,033 211700402,SS111396,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND LEVEL,,0,
5833,HARMON,AVE,,SS111384,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND FLOOR,,0,
3761,HIGH,ST,030 193501004,SS111387,Soft Story,Expired,11/9/11,8/15/12,soft story level one screening,,0,
3765,HIGH,ST,030 193501004,SS111388,Soft Story,Expired,11/9/11,8/15/12,soft story level one screening,,0,
3767,HIGH,ST,030 193501004,SS111389,Soft Story,Expired,11/9/11,8/15/12,soft story level one screening,,0,
3771,HIGH,ST,030 193501004,SS111390,Soft Story,Expired,11/9/11,8/15/12,soft story level one screening,,0,
3773,HIGH,ST,030 193501004,SS111391,Soft Story,Expired,11/9/11,8/15/12,soft story level one screening,,0,
8500,INTERNATIONAL,BLVD,043 455301400,SS111392,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND LEVEL - WILL NEED AN INSPECTION TO VERIFY,,0,
1967,SEMINARY,AVE,038 323701100,SS111383,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND FLOOR,,0,
1969,SEMINARY,AVE,,SS111382,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND FLOOR,,0,
1969,SEMINARY,AVE,038 323701100,SS111386,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND FLOOR (NORTH BLDG),,0,
1969,SEMINARY,AVE,038 323701100,SS111385,Soft Story,Expired,11/9/11,8/15/12,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND FLOOR (SOUTH BLDG),,0,
4001,ALLENDALE,AVE,032 205808100,SS111381,Soft Story,Expired,11/8/11,8/15/12,"Level 1 screening for a 2 story, 6 unit apt. bldg. w/parking below.",,0,
4077,ALLENDALE,AVE,032 205808800,SS111380,Soft Story,Expired,11/8/11,8/15/12,"Level 1 screening for a 2 story, 6 unit apt. bldg.w/parking below.",,0,
3141,38TH,AVE,032 203009100,SS111377,Soft Story,Expired,11/5/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
2605,9TH,AVE,022 034101300,SS111379,Soft Story,Expired,11/5/11,8/15/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
9225,BANCROFT,AVE,046 547001604,SS111378,Soft Story,Expired,11/5/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
1515,6TH,AVE,020 017700803,SS111375,Soft Story,Expired,11/4/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
396,BELLEVUE,AVE,010 078401900,SS111371,Soft Story,Expired,11/4/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3861,BUELL,ST,037 254700806,SS111370,Soft Story,Expired,11/4/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3867,BUELL,ST,037 254700805,SS111369,Soft Story,Expired,11/4/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
610,E 19TH,ST,021 027400800,SS111374,Soft Story,Expired,11/4/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
291,HANOVER,AVE,022 030802900,SS111373,Soft Story,Expired,11/4/11,8/15/12,EXEMPTED - NO COMMERCIAL SPACE OR PARKING ON GROUND LEVEL - HAS FOUR FRONT & ONE REAR UNIT,,0,
2738,HAVENSCOURT,BLVD,039 327002400,SS111372,Soft Story,Expired,11/4/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3300,KEMPTON,AVE,010 080801901,SS111376,Soft Story,Expired,11/4/11,8/15/12,LEVEL 1 SCREENING REQUIRED,,0,
1830,CASTRO,ST,003 004302000,SS111368,Soft Story,Expired,11/3/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
2400,PARK,BLVD,022 033802700,SS111367,Soft Story,Expired,11/2/11,6/5/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
441,W MACARTHUR,BLVD,012 094504001,SS111366,Soft Story,Expired,11/1/11,,EXEMPTED - NO PARKING OR COMMERCIAL SPACE ON GROUND LEVEL - TO BE VERIFIED BY INSPECTION,,0,
2333,HUMBOLDT,AVE,027 089601201,SS111365,Soft Story,Expired,10/31/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
1940,LAKESHORE,AVE,022 030801800,SS111359,Soft Story,Expired,10/29/11,6/5/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
441,LEE,ST,010 077200901,SS111362,Soft Story,Expired,10/29/11,6/5/12,EXEMPTED - ENGINEERING DETERMINATION (CONCRETE PODIUM-STYLE CONSTRUCTION),,0,
6511,LUCAS,AVE,048F735400201,SS111364,Soft Story,Expired,10/29/11,6/5/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
4020,OPAL,ST,012 100501301,SS111358,Soft Story,Expired,10/29/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
415,PERKINS,ST,010 077500500,SS111363,Soft Story,Expired,10/29/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
2901,SCHOOL,ST,027 085800101,SS111360,Soft Story,Expired,10/29/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
355,STATEN,AVE,010 078200201,SS111361,Soft Story,Expired,10/29/11,6/5/12,LEVEL 2 SCREENING REQUIRED,,0,
4770,TELEGRAPH,AVE,013 115001902,SS111357,Soft Story,Expired,10/29/11,6/5/12,EXEMPTED - HAS LESS THAN 5 RESIDENTIAL UNITS,,0,
2415,7TH,AVE,022 031500100,SS111354,Soft Story,Expired,10/28/11,6/5/12,LEVEL 2 SCREENING REQUIRED,,0,
3121,CUTHBERT,AVE,027 085701000,SS111356,Soft Story,Expired,10/28/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
6048,MONROE,AVE,048A704100500,SS111355,Soft Story,Expired,10/28/11,6/5/12,"Level 1 screening for a 6 unit, 2 story apt. bldg. w/parking below. (2 bldgs w/6 units each on same lot.)",,0,
454,34TH,ST,009 073501300,SS111350,Soft Story,Expired,10/27/11,6/5/12,exempted with no ground floor parking per Owner. To be verified on field.,,0,
166,ATHOL,AVE,021 022402605,SS111352,Soft Story,Expired,10/27/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
267,LESTER,AVE,021 022600601,SS111353,Soft Story,Expired,10/27/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
8656,MACARTHUR,BLVD,043A463902101,SS111351,Soft Story,Expired,10/27/11,6/5/12,Soft story screening program - Level 1.,,0,
5400,WALNUT,ST,036 248303300,SS111349,Soft Story,Expired,10/26/11,6/5/12,soft story level one screening,,0,
3505,KEMPTON,WY,010 080701300,SS111348,Soft Story,Expired,10/25/11,6/5/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
2201,106TH,AVE,047 555802405,SS111347,Soft Story,Expired,10/21/11,6/5/12,Soft story screening - Level 1.,,0,
740,OAKLAND,AVE,010 083003400,SS111346,Soft Story,Expired,10/20/11,6/5/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
375,VAN BUREN,AVE,010 077701801,SS111345,Soft Story,Expired,10/20/11,6/5/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
9316,BANCROFT,AVE,046 547302103,SS111343,Soft Story,Expired,10/19/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
221,WAYNE,AVE,021 022500404,SS111344,Soft Story,Expired,10/19/11,6/5/12,EXEMPTED - HAS LESS THAN FIVE RESIDENTIAL UNITS,,0,
340,LENOX,AVE,010 077202100,SS111342,Soft Story,Expired,10/18/11,6/5/12,"Level 1 screening for a 3 story, 8 unit apt. bldg. w/parking below.  There is another bldg.in the rear of the lot(#340).",,0,
2501,7TH,AVE,022 033800300,SS111341,Soft Story,Expired,10/17/11,6/5/12,soft story level one screening,,0,
5645,BANCROFT,AVE,038 322301002,SS111340,Soft Story,Expired,10/14/11,6/5/12,level one soft story screening,,0,
401,FAIRMOUNT,AVE,010 080801000,SS111339,Soft Story,Expired,10/14/11,6/5/12,EXEMPTED - PREVIOUS RETROFIT UNDER PERMIT #B0901213,,0,
3535,COOLIDGE,AVE,029 098901602,SS111337,Soft Story,Expired,10/12/11,6/5/12,EXEMPTED - ENGINEERING DETERMINATION LETTER (PODIUM-STYLE CONSTRUCTION),,0,
743,WARFIELD,AVE,011 083700900,SS111338,Soft Story,Expired,10/12/11,6/5/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
160,INTERNATIONAL,BLVD,020 013000800,SS111336,Soft Story,Expired,10/11/11,6/5/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
357,ATHOL,AVE,022 030700400,SS111335,Soft Story,Expired,10/8/11,6/5/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
370,VAN BUREN,AVE,010 078201400,SS111334,Soft Story,Expired,10/8/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
2511,7TH,AVE,022 033803601,SS111333,Soft Story,Expired,10/7/11,6/5/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
8130,BIRCH,ST,040 336701500,SS111332,Soft Story,Expired,10/5/11,6/5/12,LEVEL 1 SCREENING REQUIRED,,0,
3273,LYNDE,ST,027 087200200,SS111331,Soft Story,Expired,10/4/11,5/1/12,LEVEL 1 SCREENING REQUIRED,,0,
2000,36TH,AVE,032 208402202,SS111330,Soft Story,Expired,9/30/11,4/1/12,LEVEL 2 SCREENING REQUIRED,,0,
3571,66TH,AVE,037A275200104,SS111329,Soft Story,Expired,9/29/11,4/1/12,LEVEL 1 SCREENING REQUIRED,,0,
958,42ND,ST,013 108500900,SS111328,Soft Story,Expired,9/22/11,4/1/12,EXEMPTED - HAS LESS THAN 5 RESIDENTIAL UNITS,,0,
2440,8TH,AVE,022 033602100,SS111327,Soft Story,Expired,9/19/11,4/1/12,LEVEL 1 SCREENING REQUIRED,,0,
2008,96TH,AVE,046 546203400,SS111322,Soft Story,Expired,9/19/11,4/1/12,LEVEL 1 SCREENING REQUIRED,,0,
3390,ARKANSAS,ST,028 095201103,SS111323,Soft Story,Expired,9/19/11,4/1/12,LEVEL 1 SCREENING REQUIRED,,0,
415,BELLEVUE,AVE,010 077800400,SS111325,Soft Story,Expired,9/19/11,4/1/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
1948,E 29TH,ST,022 036701601,SS111320,Soft Story,Expired,9/19/11,4/1/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
2040,E 30TH,ST,022 036903400,SS111321,Soft Story,Expired,9/19/11,4/1/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1555,MADISON,ST,008 062900800,SS111318,Soft Story,Expired,9/19/11,4/1/12,LEVEL 1 SCREENING REQUIRED,,0,
2631,PLEASANT,ST,028 090000300,SS111317,Soft Story,Expired,9/19/11,4/1/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
400,SANTA CLARA,AVE,010 082602400,SS111324,Soft Story,Expired,9/19/11,4/1/12,LEVEL 2 SCREENING REQUIRED,,0,
2801,SUMMIT,ST,009 068800401,SS111319,Soft Story,Expired,9/19/11,4/1/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
415,VAN DYKE,AVE,022 031301202,SS111326,Soft Story,Expired,9/19/11,4/1/12,LEVEL 2 SCREENING REQUIRED,,0,
76,LINDA,AVE,012 098903201,SS111316,Soft Story,Expired,9/16/11,3/29/12,Type 1 screening for open front wall. (east/west submittal),,0,
425,VAN DYKE,AVE,022 031301000,SS111315,Soft Story,Expired,9/14/11,3/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
3240,61ST,AVE,037A273400104,SS111314,Soft Story,Expired,9/13/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
5470,CAMDEN,ST,036 250313700,SS111312,Soft Story,Expired,9/13/11,3/29/12,level one soft story screening,,0,
3234,MAPLE,AVE,028 093202300,SS111313,Soft Story,Expired,9/13/11,3/29/12,level one soft screening,,0,
2431,106TH,AVE,047 557601000,SS111308,Soft Story,Expired,9/7/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
2324,13TH,AVE,022 032201500,SS111298,Soft Story,Expired,9/7/11,3/29/12,EXEMPTED - HAS LESS THAN 5 RESIDENTIAL UNITS,,0,
2289,35TH,AVE,027 087600200,SS111305,Soft Story,Expired,9/7/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
518,40TH,ST,012 101200600,SS111297,Soft Story,Expired,9/7/11,3/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
252,ACTON,PL,021 022802600,SS111300,Soft Story,Expired,9/7/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
1470,ALICE,ST,008 062702700,SS111311,Soft Story,Expired,9/7/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
240,ATHOL,AVE,021 022901901,SS111303,Soft Story,Expired,9/7/11,3/29/12,LEVEL 2 SCREENING REQUIRED,,0,
9874,BANCROFT,AVE,046 547802104,SS111302,Soft Story,Expired,9/7/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
498,CAPITAL,ST,023 041700102,SS111306,Soft Story,Expired,9/7/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
5428,CLAREMONT,AVE,014 125600504,SS111301,Soft Story,Expired,9/7/11,3/29/12,LEVEL 2 SCREENING REQUIRED,,0,
275,FAIRMOUNT,AVE,010 080601800,SS111296,Soft Story,Expired,9/7/11,3/29/12,EXEMPTED - GARAGE IS IN THE BASEMENT AREA,,0,
1905,FOOTHILL,BLVD,020 016300100,SS111299,Soft Story,Expired,9/7/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
1551,MADISON,ST,008 062901001,SS111310,Soft Story,Expired,9/7/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
40,MOSS,AVE,010 081702000,SS111304,Soft Story,Expired,9/7/11,3/29/12,LEVEL 2 SCREENING REQUIRED,,0,
433,PERKINS,ST,010 077500901,SS111309,Soft Story,Expired,9/7/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
750,WARFIELD,AVE,011 083704400,SS111307,Soft Story,Expired,9/7/11,3/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
1921,5TH,AVE,021 027700600,SS111295,Soft Story,Expired,9/6/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
2767,79TH,AVE,040 340400600,SS111292,Soft Story,Expired,9/6/11,3/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
428,E 19TH,ST,021 027700900,SS111291,Soft Story,Expired,9/6/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
2500,FRUITVALE,AVE,027 084203202,SS111294,Soft Story,Expired,9/6/11,3/29/12,LEVEL 1 SCREENING REQUIRED,,0,
312,WAYNE,AVE,022 030803200,SS111293,Soft Story,Expired,9/6/11,3/29/12,LEVEL 2 SCREENING REQUIRED,,0,
832,YORK,ST,011 084001700,SS111289,Soft Story,Withdraw,9/1/11,6/4/12,"Level 1 screening for 4 story, 18 unit apt.bldg.w/parking below on a steep sloper.  Level 2 required and submitted.",,0.01,
840,YORK,ST,011 084001800,SS111290,Soft Story,Expired,9/1/11,3/16/12,"Level 1 screening for a 4 story, 17 unit apt.bldg.w/parking below on a steep slope. Level 2 required and submitted.",,0.01,
2820,14TH,AVE,022 035403301,SS111282,Soft Story,Expired,8/31/11,3/16/12,"Level 1 screening for a 4 story, 12 unit apt.bldg.w/parking below.",,0,
266,ADAMS,ST,010 078801601,SS111287,Soft Story,Expired,8/31/11,3/16/12,LEVEL 2 SCREENING REQUIRED,,0,
136,E 12TH,ST,020 012800700,SS111283,Soft Story,Expired,8/31/11,3/16/12,"Level 1 screening for a 4 story, 68 unit apt.bldg.w/no park- ing anywhere, but does have commercial space on the ground floor.",,0,
378,GRAND,AVE,010 077600800,SS111284,Soft Story,Expired,8/31/11,3/16/12,"Level 1 screening for a 4 story, 20 unit apt.bldg.w/parking in the rear of building.",,0,
414,GRAND,AVE,010 077801200,SS111285,Soft Story,Expired,8/31/11,3/16/12,"Level 1 screening for a 4 story, 24 unit apt.bldg. w/parking below.",,0,
9031,HILLSIDE,ST,046 548000804,SS111281,Soft Story,Expired,8/31/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,78.6,
2417,IVY,DR,022 033800700,SS111278,Soft Story,Expired,8/31/11,3/16/12,LEVEL 2 SCREENING REQUIRED,,0,
2425,IVY,DR,022 033800600,SS111280,Soft Story,Expired,8/31/11,3/16/12,LEVEL 2 SCREENING REQUIRED,,0,
301,LENOX,AVE,010 077100601,SS111288,Soft Story,Expired,8/31/11,3/16/12,LEVEL 2 SCREENING REQUIRED,,0,
9960,MACARTHUR,BLVD,048 562602007,SS111286,Soft Story,Expired,8/31/11,3/16/12,LEVEL 2 SCREENING REQUIRED,,0,
3361,SUTER,ST,028 095102702,SS111279,Soft Story,Expired,8/31/11,3/16/12,LEVEL 2 SCREENING REQUIRED,,0,
633,ALMA,AVE,023 046700500,SS111269,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
3242,DAVIS,ST,027 084602400,SS111270,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
224,E 15TH,ST,020 018000900,SS111271,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
398,EUCLID,AVE,010 078502400,SS111266,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
2336,FRUITVALE,AVE,027 083905000,SS111265,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
3317,KEMPTON,AVE,010 080702200,SS111276,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
266,LENOX,AVE,010 077301601,SS111268,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
821,M L KING JR,WY,001 021700700,SS111272,Soft Story,Expired,8/30/11,3/16/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
7900,NEY,AVE,040A342003800,SS111273,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
316,OAKLAND,AVE,010 079404200,SS111275,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
421,PERKINS,ST,010 077500600,SS111277,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
98,VERNON,ST,010 076902704,SS111267,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
859,WARFIELD,AVE,011 084200700,SS111274,Soft Story,Expired,8/30/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
2224,24TH,AVE,026 075501300,SS111261,Soft Story,Expired,8/29/11,3/16/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
427,38TH,ST,012 097500500,SS111264,Soft Story,Expired,8/29/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
2932,E 19TH,ST,025 072602000,SS111262,Soft Story,Expired,8/29/11,3/16/12,soft story level one screening,,0,
2800,VIOLA,ST,032 205201700,SS111263,Soft Story,Expired,8/29/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
436,BELLEVUE,AVE,010 077901600,SS111257,Soft Story,Expired,8/26/11,3/16/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
3770,PARK BOULEVARD,WY,023 047800402,SS111259,Soft Story,Expired,8/26/11,3/16/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
3401,RICHMOND,BLVD,009 073103300,SS111258,Soft Story,Expired,8/26/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
